MF;1712;20220512222500;20220513002500;WUH;SZX;
CA;3416;20220512180500;20220512200000;WUH;SZX;
CA;8233;20220512150000;20220512165000;WUH;SZX;
KY;9660;20220512180500;20220512200000;WUH;SZX;
ZH;9120;20220512180500;20220512200000;WUH;SZX;
ZH;4635;20220512150000;20220512165000;WUH;SZX;
9C;7040;20220512200500;20220512220500;WUH;SZX;
KY;9214;20220512201000;20220512231000;SIA;SZX;
KY;9212;20220512160000;20220512190000;SIA;SZX;
KY;9216;20220512230500;20220513015500;SIA;SZX;
CA;3512;20220512160000;20220512190000;SIA;SZX;
CA;3470;20220512230500;20220513015500;SIA;SZX;
CA;3460;20220512201000;20220512231000;SIA;SZX;
ZH;9214;20220512201000;20220512231000;SIA;SZX;
ZH;9212;20220512160000;20220512190000;SIA;SZX;
ZH;9216;20220512230500;20220513015500;SIA;SZX;
CZ;3214;20220512170500;20220512201000;SIA;SZX;
CZ;3794;20220512180500;20220512205500;SIA;SZX;
CZ;3226;20220512213500;20220513002500;SIA;SZX;
HU;7869;20220512151500;20220512181000;SIA;SZX;
G5;9030;20220512160000;20220512190000;SIA;SZX;
G5;9034;20220512230500;20220513015500;SIA;SZX;
G5;9032;20220512201000;20220512231000;SIA;SZX;
MF;1116;20220512170500;20220512201000;SIA;SZX;
MF;1612;20220512180500;20220512205500;SIA;SZX;
MF;1128;20220512213500;20220513002500;SIA;SZX;
3U;4090;20220512201000;20220512231000;SIA;SZX;
3U;4092;20220512230500;20220513015500;SIA;SZX;
DZ;6258;20220512203500;20220512230500;NKG;SZX;
HO;5937;20220512164000;20220512190000;NKG;SZX;
CZ;5400;20220512164000;20220512190000;NKG;SZX;
CZ;3828;20220512180000;20220512202500;NKG;SZX;
CZ;9936;20220512203500;20220512230500;NKG;SZX;
HU;7256;20220512224000;20220513011500;NKG;SZX;
MU;2887;20220512142000;20220512164500;NKG;SZX;
MF;1642;20220512180000;20220512202500;NKG;SZX;
MF;1813;20220512164000;20220512190000;NKG;SZX;
CA;3748;20220512200000;20220512223000;NKG;SZX;
CA;3680;20220512165500;20220512193000;NKG;SZX;
CA;3364;20220512143500;20220512170500;NKG;SZX;
KY;9778;20220512200000;20220512223000;NKG;SZX;
KY;9844;20220512165500;20220512193000;NKG;SZX;
KY;9642;20220512143500;20220512170500;NKG;SZX;
TV;6515;20220512165500;20220512193000;NKG;SZX;
ZH;8982;20220512143500;20220512170500;NKG;SZX;
ZH;9844;20220512165500;20220512193000;NKG;SZX;
ZH;9848;20220512200000;20220512223000;NKG;SZX;
NS;6044;20220512173500;20220512194500;HGH;SZX;
CA;1735;20220512185000;20220512211000;HGH;SZX;
CA;3766;20220512183000;20220512205000;HGH;SZX;
CA;1733;20220512141000;20220512163000;HGH;SZX;
CA;3758;20220512170500;20220512192000;HGH;SZX;
CA;3756;20220512153000;20220512175000;HGH;SZX;
CA;3338;20220512194000;20220512215000;HGH;SZX;
HU;7394;20220512180500;20220512202000;HGH;SZX;
3U;4216;20220512153000;20220512175000;HGH;SZX;
3U;4218;20220512170500;20220512192000;HGH;SZX;
3U;4220;20220512183000;20220512205000;HGH;SZX;
3U;4222;20220512194000;20220512215000;HGH;SZX;
ZH;9882;20220512183000;20220512205000;HGH;SZX;
ZH;9884;20220512194000;20220512215000;HGH;SZX;
ZH;1735;20220512185000;20220512211000;HGH;SZX;
ZH;9880;20220512170500;20220512192000;HGH;SZX;
